author,url,text
Zakhele Xaba,https://www.isolezwe.co.za/ezemidlalo/ibhola/2026-03-09-ucardoso-ubhoboka-ngobunzima-abhekane-nabo-kwidowns/,"UMQEQESHI weMamelodi Sundowns, uMiguel Cardoso, okubhekwe ukuthi aqhamuke neqhinga lokuqoqa amaphuzu kwi-Orbit College abazobhekana nayo kusasa emdlalweni weBetway Premiership Image: Isithombe:BACKPAGEPIX KUBUKEKA sezidlulile izivunguvungu ebezihlasele umqeqeshi weMamelodi Sundowns, uMiguel Cardoso, othwale kanzima emasontweni adlule abalandeli bemfuna ukumthela isibhaxu ngenxa yokubhimba kwezinto kuleli qembu laseChloorkop. Ukuhluleka kweSundowns ukuwina izindebe ezimbili zokuqala zesizini okuMTN8 neCarling Knockout kubadinile abalandeli. Enye intukuthelo idalwe wukuba sengcupheni yokuphuma kwamaBrazilians kwiCaf Champions League. Nokho sekungumlando ukuthi leli qembu lidlulele kuma-quarterfinal emuva kokwehlula iMC Alger yase-Algeria. Empeleni lo mdlalo yiwona oshintshe konke kwiSundowns, yabuyela endleleni yokudlala eyaziwa ngayo, yathela isibhaxu i-Orlando Pirates. Nokho emasontweni adlule, ikhishwe yiTS Galaxy kwiNedbank Cup. KwiBetway Premiership, isiwine imidlalo eyisithupha ilandelana. AmaBrazilians asesicongweni se-log lapho ebambene khona ngamaphuzu angu-44 nePirates. UCardoso uvumile ukuthi udlule ebunzimeni ezinyangeni ezedlule. Lo mqeqeshi wasePortugal uwine umklomelo weBetway Premiership Coach of the Month kaJanuwari noFebhuwari. ""Angikaze ngizizwe sengathi sekungilahlekele ukulawula iqembu. Kuyaziwa ukuthi uma ungawini, imimoya ayifani kunoma sindawonye (siwina). Kodwa siyakhumbula, siyakwazi esakwenza. Silahlekelwe yizindebe ezimbili kumaphenathi, ngebhadi lokho akusinikanga izindebe. Komunye wayo abangenanga ngisho kanye ebhokisini lethu noma bekhahlelele ipali. Kodwa ibhola linjalo,"" kusho uCardoso. ""Kunzima ukuvuka ngosuku olulandelayo uma ulahlekelwa yizindebe kanjalo. Kodwa abadlali bayazi lapho okufanele babheke khona futhi abantu abaseqenjini bayasisiza ukuthi sihlale sibumbene. Njengoba ngihlale ngisho ukuthi iminyango yaseChloorkop iqinile. Okwenzeka  ngaphandle, kungaphandle. Okwenzeka ngaphakathi, olunye udaba. Kuningi okungenziwanga ngendlela efanele ezintweni eziningi kodwa ubungibona ukuthi bengihlala ngiwehlisile umoya. Angifuni ukubuyela emibuzweni yasekuqaleni kwesizini. Bekungelula kithina. Bekunzima. Kudingeke silwe, silwele yonke into."" ISundowns izobhekana ne-Orbit College emdlalweni weligi ngoLwesibili ngo-7.30 ebusuku e-Olympia Park, eRustenburg. Lokhu kuyibeka ethubeni lokuvula igebe lamaphuzu amathathu esicongweni se-log phakathi kwayo nePirates ezodlala neRichards Bay ngoLwesithathu ngo-7.30 ebusuku, e-Orlando Amstel Arena. Emuva owe-Orbit, iSundowns izodlala neStade Malien yaseMali kuma-quarterfinal eChampions League ePitoli ngoLwesihlanu. ""Ebholeni kufanele ucabange ngekusasa. Angicabangi ngemuva. Engikwaziyo wukuthi ngoLwesibili sizodlala ne-Orbit. Yileyo inselelo esinayo. Kusuka lapho, sizobona ukuthi simelwe yini ngaphambili kodwa okwamanje yi-Orbit. Akekho eqenjini ocabanga okunye ngaphandle kwe-Orbit,"" kusho uCardoso."
Nokubongwa Phenyane,https://www.isolezwe.co.za/ezokungcebeleka/2026-05-05-umbhali-wemidlalo-yethelevishini-ubhoboka-ngokuchithwa-kowakhe/,"U-CHRIS Q Radebe ongumbhali womdlalo othi Shut Up Men Are Talking UMLINGISI ophinde abe umbhali wemidlalo, uChris Q Radebe, useveze ukuthi yize umdlalo othakaselwe abaningi othi Shut Up Men Are Talking, nobukhonjiswa kwiYouTube, wanqatshwa iziteshi zethelevishini. Ukusho lokhu ngemuva kokukhonjiswa kwesiqephu sokugcina salo mdlalo nasikhiphe ngesonto eledlule kule nkundla yezokuxhumana. Abantu bamshayele ihlombe uChris ngalo mdlalo kodwa kwaba nemibuzo yokuthi kungani lo  ungekho kwithelevishini? Ekhuluma neSolezwe, uthe ngaphambi kokuthi umdlalo aqale awufake ekhasini lakhe kwiYouTube, wawuhambisa esiteshini esizimele iNetflix kodwa bawenqaba. ""Angigcinanga lapho, ngaya nakwezinye iziteshi nakhona bakhombisa ukungawuthakaseli kodwa ngabona ukuthi ngendlela onesifundo ngayo, kumele ugcine ufinyelele ebantwini bawubone. Ngafikelwa umqondo wokuthi angiwufake ekhasini lami enkundleni engaziyo ukuthi abantu bayakwazi ukufinyelela kuyo futhi ngempela bawuthakasela kusukela ngiwumemezela kwaze kwaba sekugcineni. Kungijabulisile ukubona ukuthi singababhali isikhona enye indlela esingakhombisa ngayo imisebenzi yethu njengoba mina sengihlela ukuthi imidlalo ngiyibhale bese ngiyikhombisa ngale ndlela,"" kusho uChris. Uthe yena njengomuntu oneminyaka emkhakheni wokubhala imidlalo, akuqondayo ukuthi ababukeli bayayazi into abafuna ukuyibuka emizini yabo. ""Yingakho ngabhala umdlalo ofana nalona okhombisa usizi abesifazane ababhekene nalo emizini yabo, ikakhulukazi emakhaya. ""Iziteshi zethelevishini zithatha lokho ezikufunayo ngaleso sikhathi, lo mdlalo njengoba abantu bewubona uwulolu hlobo nje kwithelevishini ubungashintsha ube ngenye into kodwa mina ngiwulethe unjengoba unjalo ngoba ngazi ukuthi yimuphi umyalezio engifuna ukuwudlulisa. Ngiyakholelwa ekutheni ngelinye ilanga abantu abakhangisayo bayofinyelela kithi bese senza imali ngalokhu, njengoba ngalo mdlalo abalingisi ngibaholele ngemali yami,"" kusho yena. Uthe uyababonga kakhulu abalingisi asebenze nabo, nathemba ukuthi bazoqhubeka babambisane ukuya phambili."
Sibusiso Mdlalose,https://www.isolezwe.co.za/ezemidlalo/ezinye-ezemidlalo/2026-05-17-umnguni-uthipha-ibafana-ngokudlula-esigabeni-samaqoqo-kweyomhlaba/,"Isithome OYISIQONGQWANE sasemuva kwiBafana Bafana, uMbekezeli Mbokazi, ungomunye wabadlali abamqoka leli qembu elizothembela kubona kwiNdebe yoMhlaba ka-2026 e-USA, Mexico naseCanada OWAYENGUMDLALI wasesiswini kwiBafana Bafana, uBennet Mnguni, ukholwa wukuthi leli qembu linalo ithuba lokuqopha umlando ngokudlula esigabeni samaqoqo okokuqala kusukela iNingizimu Afrika yaqala ukudlala kwiNdebe yoMhlaba yeFifa. IBafana ezodlala okwesine koweNdebe yoMhlaba kusukela ngo-1998, iqhathwe neMexico, South Korea ne-Czech Republic kuGroup A kulo mqhudelwano ezobanjelwa e-USA, Mexico naseCanada kusukela ngoJuni 11 kuya kuJulayi 19. Izodlala neMexico kowokuvula ngoJuni 11, e-Estadio Azteca, eMexico City. Kusukela iBafana idlala okokuqala kwiNdebe yoMhlaba ngo-1998, eFrance, ayikaze idlule esigabeni samaqoqo. Kanti ngo-2010 kwiNdebe yoMhlaba eyayidlalelwa eMzansi, yaqopha umlando omubi wokuba yizwe lokuqala emlandweni weNdebe yoMhlaba elaphuma esigabeni samaqoqo. “Ngicabanga ukuthi leli qembu leBafana Bafana eliqeqeshwa nguHugo Broos linabadlali abasezingeni nabanamava okuzibamba ziqine kwiNdebe yoMhlaba yakulo nyaka. Ngokwami iqoqo esikulona akulona iqoqo elinzima kangako ukuthi singakwazi ukudlula esigabeni samaqoqo. Angiyithathi kancane iCzech Republic neSouth Korea kodwa ngokwami akuwona amazwe anomlando ophathekayo kwiNdebe yoMhlaba, ngakho leli yithuba lethu lokuqopha umlando ngokuthi sidlule okokuqala esigabeni samaqoqo. Kanti nayo iMexico akulona izwe eselike lasinika inkinga,” kusho uMnguni owayeseqenjini leBafana eladlala kwiNdebe yoMhlaba eyayiseKorea-Japan ngo-2002. “Okuhle ngaleli qembu likaHugo Broos wukuthi selidlale ndawonye isikhathi eside futhi likwazile nokudlala kwi-Africa Cup of Nations iminyaka ilandelana obekuyinto ebaluleke kakhulu. Ngaphandle kwalokho sinabadlali beSundowns (Mamelodi) abadlalile kwiFifa Club World Cup, ethi ayibe sezingeni elifanayo neleNdebe yoMhlaba. Leli yiqembu engingabazi ukuthi lizokwenza okungcono kunamanye amaqembu esizwe aphambilini, elikwaze ukuzibekisela indawo kwiNdebe yoMhlaba ngezikhwepha zalo okokuqala kusukela ngo-2010.” IBafana isadlale kanye neCzech Republic emlandweni emdlalweni owawungo-1997 kwiFifa Confederations Cup, zabambana ngo 2-2. Ayikaze idlale neSouth Korea, kanti isadlale amahlandla amathathu neMexico, yanqoba kabili, yadlala ngokulingana kanye koweNdebe yoMhlaba ka-2010."
Mthokozisi Mncuseni,https://www.isolezwe.co.za/ezemidlalo/ibhola/2026-05-18-usibisi-ufongqa-isigqoko-kwabebucs-ngeseligi/,"UKAPUTENI we-Orlando Pirates uNkosinathi ""Bhodlela"" Sibisi uthumele umyalezo kubalandeli beqembu aliholayo IPHUPHO le-Orlando Pirates elingafezekanga emdlalweni owandulela owokusonga isizini yeBetway Premiership ngelokuqoqa amaphuzu agcwele phambi kwabalandeli emdlalweni wokugcina wasekhaya kodwa konke okunye kusahamba ngokohlelo. Lawa ngamazwi kakaputeni wePirates, uNkosinathi “Bhodlela” Sibisi, awatshele ithimba laleli qembu laseSoweto labezindaba kulandela ukuphunyukwa kwayo yithuba lokudla isicoco seligi okokuqala emuva kweminyaka engu-14. EZimnyama zibambane neDurban City ngo 0-0 e-Orlando Amstel Arena, eSoweto, ngoMgqibelo. Lokhu kuholele ekutheni abalandeli abebelindele ukuzobhiyoza baphume bedangele kule nkundla iqembu labo elijwayele ukusobozela amanye kuyona. IPirates inelinye ithuba lokugudluza iMamelodi Sundowns ekukhonyeni iligi enkulu yaseMzansi ngomdlalo wokugcina wesizini ne-Orbit College FC ngoMgqibelo ngo-3 ntambama, eMbombela Stadium, eNelspruit. Isele ngamaphuzu amabili kwiSundowns esesicongweni ngawu-68. Lokhu kusho ukuthi kufanele inqobe noma yikanjani kwiMagesi. “Okungenzekanga kwebesikuhlelile wukuqoqa amaphuzu agcwele emdlalweni wokugcina ekhaya kodwa konke okunye kusesemgqeni. “Sikwenze konke obekudingeka ukuqinisekisa ukuthi sijabulisa abalandeli bethu ngamaphuzu agcwele ngempelasonto edlule kodwa kwaphika. “Akukho engikhala ngakho ngaphandle kwesitha esifike sihlelile ukuthi sizovala emuva. “Lokhu kusiphazamisile ekutheni sivale ngamaphuzu agcwele phambi kwabalandeli abasithwale cishe isizini yonke. Kokunye isabambe ngakho. Umsebenzi osihlalele emdlalweni wokugcina siyawazi,"" kusho uSibisi. “Kasidingi ukutshelwa ngokulindeleke kithina singabadlali ngempelasonto. Ngifisa ukuthi bangadikibali abalandeli ngabakubone emdlalweni odlule ngoba owokusonga isizini uzobe wehlukile. “Ngalokhu kangisho ukuthi sizoya ngobuso kwi-Orbit esaziyo ukuthi kukhona ekulwelayo kepha sizodlalisa okweqembu ebelivele lingadedeli lupho ngesikhathi isizini iqhubeka. “Sizokwenza njengoba besenza isizini yonke sigxile kwesihlele ukukwenza bese sibheka amaphutha esitha ukuthi singawenza kanjani ukuthi asebenzele thina."" UBhodlela (30) unethuba lokuhamba ezinyathelweni zokaputeni abanomlando wokuphakamisa inkomishi ehamba nesicoco seligi njengoJohn Moeti ongasekho owakwenza ngesizini ka-1993-1994, Mbulelo “OJ” Mabizela (2002-2003) noLucky “Phinda Mzala” Lekgwathi okunguyena owagcina ngo-2020-2011 nango-2011-2012. UMabizela wayeneminyaka engu-22 ubudala ngesikhathi equkula kanti uLekgwathi wasidla waze wasiphinda kulandelana isicoco seligi. Lesi sitobha saKwaZulu Natal (KZN) sinethuba lokwenza okwehlula abanye okaputeni wePirates abaqavile okunguHappy Jele no-Innocent Maela."
Mhlengi Shangase,https://www.isolezwe.co.za/izindaba/2026-05-18-ngeke-ziphazamiseke-ezika-matric-ngokhetho-iec/,"Image: Armand Hough / Independent Newspapers IKHOMISHINI yezoKhetho isiqinisekise ukuthi azizophazamiseka izivivinyo zika-matric uma sekuvotwa. Ikhomishini ithe yenze izinhlelo noMnyango wezeMfundo eyisiSekelo, ukuze izivivinyo zingaphazamiseki ngosuku lokhetho lohulumeni basekhaya ngoNovemba 4, 2026. Okunye okuvezwe yikhomishini ngukuthi yengezelwe isabelomali ngo-R1.1 billion wokhetho. Lokhu kuvele ngesikhathi izikhulu zekhomishini zivele ngaphambi kwekomiti lasePhalamende. USihlalo wekomiti i-Appropriations ePhalamende, uDkt Mmusi Maimane, uthe kubaqinisa idolo ukwazi ukuthi izivivinyo ezibaluleke kangaka ekhalendeni lezikole, ngeke ziphazamiseke. ""Ukhetho luzobanjwa ngesikhathi esimatasa sokubhalwa kwezivivinyo. Kuyasijabulisa ukuthi usuku lokhetho kuzoba yiholidi ngakho ngeke ziphazamiseke izivivinyo,"" kusho uMaimane. Uthe izikhungo eziningi okuvotelwa kuzona yizikole ngakho bebekhathazekile ngokuthi kuzokwenzakalani ngezivivinyo. UNksz Dawn Mbatha, isikhulu esiphethe izimali kwikhomishini, uthe isimo sabo sezimali sihle njengoba bethole uchatha. ""Ngaphambi kokuba sisebenzise imali kudingeka silethe izitatimende zokusebenza kwemali ungakashayi uJulayi 31. Lo chatha usuvele ungakuthina sesilinde ukuwusebenzisa."" Kuzokhumbuleka ukuthi ikhomishini yahlinzekwa ngesabelomali sika-R3.2 billion sezinhlelo zokhetho. Le mali eyokusiza kugaywe amaphepha okuvota, ukukhokhela abasebenzi abengeziwe abazosebenza ngesikhathi sokhetho kanjalo nokwenza ezinye izinhlelo ezithinta ukhetho. UMaimane unxuse ikhomishini ukuthi iqinise imikhankaso yokunxenxa abantu ikakhulu intsha ukubhalisela ukuvota. ""Liphansi kakhulu izinga lentsha ezibandakanya nokuvota kuleli. Sinxusa nokuthi igade abantu abasabalalisa izinto okungezona ezinkundleni zokuxhumana ngokhetho."" Iphini lesikhulu esiphezulu sekhomishini uMnuz Masego Sheburi, lithe ahamba ngohlelo amalungiselelo okhetho. ""Sihlabela phambili namalungiselelo njengoba kuzoba nempelasonto yokubhalisela ukuvota."" Angaphezu kuka-500 amaqembu abhalisile kuleli kanti angu-20 wawo, abhaliswe kusuka ngo-Okthoba 2025 kuya kuFebhuwari 2026."
Fanelesibonge Bengu,https://www.isolezwe.co.za/ezemidlalo/ezezimoto/2026-04-25-i-jetour-nezinhlelo-zokukhiqiza-kuleli-yethula-i-t1-i-dm-ne-t2-i-dm/,"KwaJetour bethule iT1 ne-T2 i-DM okuyizimoto ezingonhliziyombili njengoba zihamba ngenjini kaphethroli nekagesi webhethri ISIKHULU sakwaJetour emhlabeni jikelele sidalule ukuthi le nkampani yaseChina isezinhlelweni zokukhiqiza izimoto zayo eNingizimu Afrika. U-Andy Yuan, oyi-Vice President yakwaJetour International, wenze lesi simemezelo eSun Bet Arena kuleli sonto ngesikhathi le nkampani yethula izimoto zayo zokuqala kuleli ezingama-new energy vehicle (NEV). UYuan uthe basabalala emazweni angomakhelwane nawo adayisa izimoto ezishayelwa ngakwesokudla okubalwa kuwo iNamibia, Botswana, Zambia namanye. Uthe bafuna ukuvula ifemu yokwakha izimoto kuleli ukuze kunciphe izindleko futhi kudaleke amathuba omsebenzi. Ifemu izobe izihlanganisa izimoto, hhayi ukuzakha kusuka phansi. Kuzokhumbuleka ukuthi iChery South Africa isanda kumemezela ukuthi ithenge ifemu yakwaNissan ePitoli. IJetour ingenye yezinkampani ezenganyelwe yiChery emhlabeni jikelele. Izimoto ebezethulwa yi-T1 iDM neT-2 iDM ezingama plug-in hybrid. Zisuselwe kuma-T1 neT2 ahamba ngophethroli nabamba elikhulu iqhaza ekundlondlobaleni kweJetour kuleli. I-T2 ingenye yezimoto ezibanga isicoco se-2026 SA Car of the Year. I-T1 i-DM inenjini kaphethroli nezimbili zikagesi okukhipha amandla ahlanganisiwe angu-250kW ne-torque engu-530Nm. Ibhethri eligcina ugesi lingu-18.4kWh futhi uyakwazi ukuyisebenzisa njenge-generator ekhipha amandla angu-3.3kW. Ukuyishaja endaweni esheshayo bathi kuthatha imizuzu engu-27 ukusuka ku-30% iye ku-80% kuthi ngogesi wasendlini kuthathe amahora alinganiselwa kwamathathu ukuthi igcwale. Uma ibhethri nophethroli kugcwele bathi ungahamba amakhilomitha angu-1 200, kuthi ngogesi wodwa uhambe angu-100. I-T2 i-DM yona inamandla angu-265kW ne-torque engu-610Nm. Nakuyo bathi ungahamba amakhilomitha alinganiselwa ku-1 200 kuthi ngogesi wodwa uhambe angu-90. Ibhethri layo nezikhathi zokushaja kuyafana nakwiT1 i-DM."
Charles Khuzwayo,https://www.isolezwe.co.za/ezokungcebeleka/osaziwayo/2026-05-03-babhekwe-ngabomvu-osomahlaya-bebafunny-bafunny/,"UTREVOR Noah enozakwabo u-Eugene Khoza noNtosh Madlingozi kwiBafunny Bafunny KUBHEKWE ngabomvu ukumenyezelwa kohlu losomahlaya bakuleli abazoboshelwa eqenjini lesizwe iBafunny Bafunny. Ngokusho komsunguli nokaputeni waleli qembu, uTrevor Noah, iBafunny Bafunny izohlekisa ochungechungeni lwemicimbi ezokuba kuleli ngoSepthemba walo nyaka. UTrevor ubuye waqoka uzakwabo u-Eugene Khoza weWhat Now Podcast nomqeqeshi waleli qembu uNtosh Madlingozi. Isolezwe lithole ukuthi leli qembu lesizwe lizoqala ukuhlekisa izethameli emcimbini oseSunBet Arena ePitoli ngoSepthemba 5 bese lidlulela eGrandWest Arena eCape Town ngoSepthemba 26. ""INingizimu Afrika iyakudinga ukuhleka, ngakho neSavanna ngiletha iqembu ukuba lenze lokho. IBafunny Bafunny iqembu lesizwe losomahlaya. Kuzoba nemicimbi emihlanu, emadolobheni amathathu ngoSepthemba 2026. Ngiphethe u-Eugene Khoza oseqinisekisiwe nabanye osomahlaya bakuleli abaningi nabakwamanye amazwe abasazomenyezelwa."" Uthe usazohlanganisa amakhanda nephini lakhe kanye nomqeqeshi ukumemezela abanye osomahlaya abazobe bebabophele kulolu chungechunge. UTrevor, oseke wahlabana amahlandla amabili kuma-Emmy Awards, uzohlekisa okokuqala kuleli kwiFestival of Comedy ekubeni ayegcine ukunandisa kwiSavanna Presents Trevor Noah Live in South Africa Tour ngoSepthemba 2023."
Nokubongwa Phenyane,https://www.isolezwe.co.za/ezokungcebeleka/2026-05-01-kuzosetshenziswa-ubuchwepheshe-kowomculo-wokholo/,"UMCULI ocula owokholo uLusanda Beja oza eThekwini emcimbini iSilent Worship Experience: A Night of Songs ezoba ngenyanga ezayo KULINDELEKE ukuthi kuze kucishe kuse ekuseni kudunyiswa emcimbini wokudumisa ozobe uhanjelwe yizinkakha zabaculi, iSilent Worship Experience: A Night of Songs, ongowokuqala nozoba seDCC Jesus Dome eThekwini ngoMeyi 22. Kulo mcimbi kulindeleke ukuthi kuqopheke umlando njengoba izethameli zizodumisa zifake ama-earphone ezindlebeni. Ngeke kugcine lapho ngoba kwabazohambela umcimbi akekho ozobe ekhethekile njengoba amathikithi eVIP engekho. UKwezi Ndlovu-Mbambo, osethimbeni labahleli bomcimbi, uveze ukuthi bahlele into engakaze ibonakale nezoqala ukwenzeka kulo mcimbi njengoba abazobe bekhona bonke bezonikwa ama-earphone ukuze ulalele lonke uhlelo lomcimbi nokuyindlela abafuna umuntu asondelane ngayo noThixo njengoba kuzobe kugcwele umculo nomkhuleko. ""Sihlele ukuthi umcimbi siwenze ngendlela engakaze ibonakale kuleli. Siyazi ukuthi abanye bazoba nokudideka kodwa njengoba sisho nje, ama-earphone azotholwa yiwona wonke umuntu ukuze azwe konke okuzokwenzeka, uma ungenawo ngeke uzwe lutho. Kanjalo akekho ozoba yiVIP ngenxa yokuthi sihlele ukuthi abantu babe ndawonye bazizwe bemunye. Abantu abazofika sifuna basondelane noNkulunkulu ngokubanika isikhathi somuntu ngamunye. Izingoma zonke nezintshumayelo abantu bazokuzwa ngalokhu abazobe bekufake ezindlebeni nokuyindlela esifuna ukuthi umuntu ngamunye asondelane ngayo noMdali wakhe,"" kusho uKwezi. Uthe kusasa njengoba besahambela izikhungo zemfundo ephakeme, bazoya oNgoye bayokhulekela izitshudeni futhi bazikhuthaze ezintweni ezihlukene. Uthe abaculi abazobe bekhona bonke ngeke bagcine nje ngokucula kuphela kodwa bazophinde bashumayele. Amathikithi okuthamela umcimbi aseyatholakala eWebtickets nasePick n Pay ngo-R250. Kubaculi abazobe bekhona kubalwa u-Oncemoresix, Khaya Mthethwa, Ncebakazi Msomi, Ntokozo Mbambo, Lusanda Beja noMpumi Mtsweni."
Sabelo Nsele,https://www.isolezwe.co.za/izindaba/2026-05-12-kushone-obemele-i-da-embangweni-wesobumeya/,"UMNUZ Christo Botha obemele i-DA embangweni wesikhundla sobumeya kuMasipala waseMhlathuze KUSHONE obemele i-DA embangweni wesikhundla sobumeya kuMasipala waseMhlathuze, uMnuz Christo Botha. UBotha, obeyiphini lemeya kuMasipala waseMhlathuze, ushone emva kokuxinwa ukugula. Izindaba zokushona kwakhe zimenyezelwe ngumholi we-DA KwaZulu-Natal, uMnuz Sithembiso Ngema. UNgema uthe bagqemeke engeqiwa ntwala ngokushona kukaBotha. ""Asilahlekelwanga nje iphini lemeya kodwa silahlekelwe umholi obesebenzela abantu. Uyena obezomela i-DA embangweni wesikhundla sobumeya eMhlathuze njengoba kuza ukhetho lohulumeni basekhaya. Angeke siwakhohlwe amagalelo akhe kuMasipala waseMhlathuze  nokulwela kwakhe abantu baseMhlathuze."" UBotha ubephinde abe yikhansela lakuWard 2. USomlomo womkhandlu, uMnuz Tobias Gumede, unxuse abantu abahlala kuWard 2 abadinga usizo lomkhandlu ukuba bathinte ihhovisi lakhe namalungu ekomiti lekhansela kuWard 2 ukuze ezothola usizo. UGumende udlulise amazwi enduduzo emndenini kaBotha."
Mthokozisi Mncuseni,https://www.isolezwe.co.za/ezemidlalo/ibhola/2026-05-01-ukhune-uphendlela-unozinti-wechiefs-kwibafana/,"U-ITUMELENG Khune noBrandon Petersen ngesikhathi besasebenza ndawonye kwiKaizer Chiefs UNOZINTI wodumo kwiKaizer Chiefs nakwiBafana Bafana, u-Itumeleng Khune, ubona uBrandon Petersen kunguyena okufanele abange ijezi noRonwen Williams eqenjini lesizwe kwiNdebe yoMhlaba, athole nomklomelo kanozinti ovelele, iBetway Premiership Goalkeeper of the Season. UKhune owayidla cishe yonke imiklomela yonozinti ebholeni laseMzansi ngaphambi kokuwagaxa emgibeni amagilavu, ubekhuluma nabezindaba emuva komdlalo wabakhaya osekungumlando ukuthi iChiefs idlale ngokulingana ngo 1-1 ne-Orlando Pirates. IChiefs kufanele ibonge uPetersen ngephuzu elithole kulo mdlalo kwazise lo nozinti waseKapa oneminyaka engu-31 ubudala, uvimbe amabhola amaningi amabi, wagcina eqokwe njengomdlali ovelele kulo mdlalo. UPetersen ungomunye wonozinti abagqamile kule sizini okufakazelwa ukuthi ubalwa nabazihola phambili ngokunqaba namagoli kwiligi. Njengoba sekusele izinsuku ukuthi umqeqeshi weBafana, uHugo Broos, amemezele isikwati azoya ngaso kwiNdebe yoMhlaba, uKhune ujoyine abalandeli ababona lo nozinti weChiefs kumfanele ukungena endizeni ebheke eMexico, Canada nase-United States of America (USA). “Umehluko phakathi kokuthi iChiefs ihlale endaweni yesithathu kwi-log nokuthi ingabi ngaphandle kwe-Top 8 yindlela uPetersen ayilwela ngayo kusukela kuqale isizini. “Uqokwe kufanele njengovelele emdlalweni wabakhaya kodwa okwangijabulisa nakakhulu ukuthi akayena unozinti okhuphula izinga uma kuyimidlalo emikhulu kuphela. “Uhlale eyihola njengesibani iChiefs. Okumnandi kakhulu uPetersen akwenze emdlalweni wabakhaya ukuthi uBroos uzibonele ngawakhe,"" kusho uKhune. “Ofuna ukwazi ukuthi kungani iChiefs yashaywa yiPirates ngo 3-0 kowabakhaya wangoFebhuwari, yingoba uPetersen wayengekho ngenxa yokugula. “Ngokwami kufanele ngabe kayisakhulunywa indaba yokuthi uPetersen uyaya kwiNdebe yoMhlaba noma cha kepha kufanele ngabe kukhulunywa ukuthi ngubani ozoqala imidlalo kwiBafana kweyoMhlaba phakathi kwakhe noRonza (Williams). “Ngiyaziqhenya ngoBrandon (Petersen) ngoba ngiyazazi izingqinamba ake abhekana nazo kwazise kunezingxenye zabalandeli ebezimqhathanisa nonozinti beChiefs baphambilini. “Ungumholi kwiChiefs futhi kufanele kuqokwe yena kowe-Goalkeeper of the Season ngoba ubuqhawe bakhe bufana ncamashi nobalaba abalishayela amagoli amqoka leli qembu."""
